2024-09-27 12:43:42,495 INFO    StreamThr :27348 [internal.py:wandb_internal():87] W&B internal server running at pid: 27348, started at: 2024-09-27 12:43:42.495397
2024-09-27 12:43:42,496 DEBUG   HandlerThread:27348 [handler.py:handle_request():144] handle_request: status
2024-09-27 12:43:42,498 INFO    WriterThread:27348 [datastore.py:open_for_write():85] open: /root/Project-Build-an-ML-Pipeline-Starter/src/basic_cleaning/wandb/run-20240927_124342-rcwi0kv5/run-rcwi0kv5.wandb
2024-09-27 12:43:42,499 DEBUG   SenderThread:27348 [sender.py:send():334] send: header
2024-09-27 12:43:42,502 DEBUG   SenderThread:27348 [sender.py:send():334] send: run
2024-09-27 12:43:42,886 INFO    SenderThread:27348 [dir_watcher.py:__init__():216] watching files in: /root/Project-Build-an-ML-Pipeline-Starter/src/basic_cleaning/wandb/run-20240927_124342-rcwi0kv5/files
2024-09-27 12:43:42,886 INFO    SenderThread:27348 [sender.py:_start_run_threads():1065] run started: rcwi0kv5 with start time 1727459022.49601
2024-09-27 12:43:42,886 DEBUG   SenderThread:27348 [sender.py:send_request():361] send_request: summary_record
2024-09-27 12:43:42,887 INFO    SenderThread:27348 [sender.py:_save_file():1319] saving file wandb-summary.json with policy end
2024-09-27 12:43:42,887 DEBUG   HandlerThread:27348 [handler.py:handle_request():144] handle_request: check_version
2024-09-27 12:43:42,888 DEBUG   SenderThread:27348 [sender.py:send_request():361] send_request: check_version
2024-09-27 12:43:43,031 DEBUG   HandlerThread:27348 [handler.py:handle_request():144] handle_request: run_start
2024-09-27 12:43:43,062 DEBUG   HandlerThread:27348 [system_info.py:__init__():31] System info init
2024-09-27 12:43:43,063 DEBUG   HandlerThread:27348 [system_info.py:__init__():46] System info init done
2024-09-27 12:43:43,063 INFO    HandlerThread:27348 [system_monitor.py:start():151] Starting system monitor
2024-09-27 12:43:43,063 INFO    SystemMonitor:27348 [system_monitor.py:_start():116] Starting system asset monitoring threads
2024-09-27 12:43:43,063 INFO    HandlerThread:27348 [system_monitor.py:probe():172] Collecting system info
2024-09-27 12:43:43,063 INFO    SystemMonitor:27348 [interfaces.py:start():168] Started cpu
2024-09-27 12:43:43,064 INFO    SystemMonitor:27348 [interfaces.py:start():168] Started disk
2024-09-27 12:43:43,064 INFO    SystemMonitor:27348 [interfaces.py:start():168] Started gpu
2024-09-27 12:43:43,065 INFO    SystemMonitor:27348 [interfaces.py:start():168] Started memory
2024-09-27 12:43:43,066 INFO    SystemMonitor:27348 [interfaces.py:start():168] Started network
2024-09-27 12:43:43,077 DEBUG   HandlerThread:27348 [system_info.py:probe():195] Probing system
2024-09-27 12:43:43,095 DEBUG   HandlerThread:27348 [system_info.py:_probe_git():180] Probing git
2024-09-27 12:43:43,102 DEBUG   HandlerThread:27348 [system_info.py:_probe_git():188] Probing git done
2024-09-27 12:43:43,102 DEBUG   HandlerThread:27348 [system_info.py:probe():241] Probing system done
